ID,TITLE,PLATFORM,STATUS
0,Adventures in the Magic Kingdom,NES,in_collection
1,Adventures of Lolo,NES,in_collection
2,Astyanax,NES,in_collection
3,Battletoads,NES,in_collection
4,Blades of Steel,NES,in_collection
5,Blaster Master,NES,in_collection
6,Blaster Master,NES,in_collection
7,Captain Skyhawk,NES,in_collection
8,Castlevania 2: Simon's Quest,NES,in_collection
9,Chip & Dale Rescue Rangers,NES,in_collection
10,Clash at Demonhead,NES,in_collection
11,Donkey Kong Classics,NES,in_collection
12,Double Dragon,NES,in_collection
13,Double Dragon 2,NES,in_collection
14,Dr. Mario,NES,in_collection
15,DuckTales,NES,in_collection
16,Elevator Action,NES,in_collection
17,Excitebike,NES,in_collection
18,Final Fantasy,NES,in_collection
19,Gauntlet,NES,in_collection
20,Ghostbusters,NES,in_collection
21,Hydlide,NES,in_collection
22,Joust,NES,in_collection
23,Kirby's Adventure,NES,in_collection
24,Klax,NES,in_collection
25,Kung Fu,NES,in_collection
26,Legend of Zelda,NES,in_collection
27,Loopz,NES,in_collection
28,Mappy-Land,NES,in_collection
29,Marble Madness,NES,in_collection
30,Mega Man,NES,in_collection
31,Mega Man 2,NES,in_collection
32,Mega Man 3,NES,in_collection
33,Mega Man 4,NES,in_collection
34,Mega Man 5,NES,in_collection
35,Mega Man 6,NES,in_collection
36,Metroid,NES,in_collection
37,Mickey Mousecapade,NES,in_collection
38,Mike Tyson's Punch Out,NES,in_collection
39,Ninja Gaiden,NES,in_collection
40,Paperboy,NES,in_collection
41,Q-Bert,NES,in_collection
42,Rad Racer,NES,in_collection
43,Rad Racer 2,NES,in_collection
44,RC Pro-Am,NES,in_collection
45,Rygar,NES,in_collection
46,Shadowgate,NES,in_collection
47,Skate or Die,NES,in_collection
48,Spy Hunter,NES,in_collection
49,Star Tropics,NES,in_collection
50,Super Mario 2,NES,in_collection
51,Super Mario 3,NES,in_collection
52,Super Mario/Duck Hunt,NES,in_collection
53,Teenage Mutant Ninja Turtles,NES,in_collection
54,Tetris,NES,in_collection
55,The Little Mermaid,NES,in_collection
56,TMNT: The Arcade Game,NES,in_collection
57,Top Gun,NES,in_collection
58,Top Gun 2,NES,in_collection
59,Yoshi's Cookie,NES,in_collection
60,Zelda 2: Adventures of Link,NES,in_collection
61,F-15 Strike Eagle,NES,in_collection
62,Donkey Kong Country,SNES,in_collection
63,F-Zero,SNES,in_collection
64,Illusion of Gaia,SNES,in_collection
65,Legend of Zelda: A Link to the Past,SNES,in_collection
66,Mega Man X,SNES,in_collection
67,Mortal Kombat,SNES,in_collection
68,Ranma 1/2: Hard Battle,SNES,in_collection
69,Star Fox,SNES,in_collection
70,Street Fighter 2,SNES,in_collection
71,Super Mario All-Stars,SNES,in_collection
72,Super Mario Kart,SNES,in_collection
73,Super Mario World,SNES,in_collection
74,Super R-Type,SNES,in_collection
75,Pilotwings,SNES,in_collection
76,Zoop,SNES,in_collection
77,Spider-Man & Venom: Maximum Carnage,SNES,in_collection
78,Super Metroid,SNES,in_collection
79,Killer Instinct,SNES,in_collection
80,Secret of Evermore,SNES,in_collection
81,Body Harvest,N64,in_collection
82,Donkey Kong 64,N64,in_collection
83,Goldeneye 007,N64,in_collection
84,Legend of Zelda: Majora's Mask,N64,in_collection
85,Legend of Zelda: The Ocarina of Time,N64,in_collection
86,Mario Kart 64,N64,in_collection
87,Mortal Kombat 4,N64,in_collection
88,Perfect Dark,N64,in_collection
89,Pokemon Stadium,N64,in_collection
90,Star Wars Rogue Squadron,N64,in_collection
91,Star Wars: Episode 1 Racer,N64,in_collection
92,Star Wars: Shadows of the Empire,N64,in_collection
93,Super Mario 64,N64,in_collection
94,Automobili Lamborghini,N64,in_collection
95,Jet Force Gemini,N64,in_collection
96,Mischief Makers,N64,in_collection
97,Metroid Prime,GameCube,in_collection
98,Star Fox Adventures,GameCube,in_collection
99,Geist,GameCube,in_collection
100,Resident Evil,GameCube,in_collection
101,Animal Crossing,GameCube,in_collection
102,NBA Street,GameCube,in_collection
103,Luigi's Mansion,GameCube,in_collection
104,Star Wars: Rebel Squadron,GameCube,in_collection
105,Tony Hawk Pro Skater 3,GameCube,in_collection
106,X-Men Legends,GameCube,in_collection
107,SoulCaliber 2,GameCube,in_collection
108,Super Mario Land,Game Boy,in_collection
109,Skate or Die: Bad 'n' Rad,Game Boy,in_collection
110,Balloon Kid,Game Boy,in_collection
111,Tetris,Game Boy,in_collection
112,Pokemon Red,Game Boy,in_collection
113,Teenage Mutant Ninja Turtles Fall of the Foot Clan,Game Boy,in_collection
114,Solar Striker,Game Boy,in_collection
115,Metroid 2: Return of Samus,Game Boy,in_collection
116,Zelda Link's Awakening,Game Boy,in_collection
117,Kirby Nightmare in Dreamland,Game Boy Advance,in_collection
118,Legend of Zelda: Link to the Past/Four Swords,Game Boy Advance,in_collection
119,Mario Kart Super Circuit,Game Boy Advance,in_collection
120,Mario vs. Donkey Kong,Game Boy Advance,in_collection
121,Mega Man Zero,Game Boy Advance,in_collection
122,Mega Man Zero 2,Game Boy Advance,in_collection
123,Mega Man Zero 3,Game Boy Advance,in_collection
124,Mega Man Zero 4,Game Boy Advance,in_collection
125,Metroid Fusion,Game Boy Advance,in_collection
126,Pac-Man Collection,Game Boy Advance,in_collection
127,Pokémon Sapphire,Game Boy Advance,in_collection
128,Super Mario Advance,Game Boy Advance,in_collection
129,Super Mario Advance 2: Super Mario World,Game Boy Advance,in_collection
130,Super Mario Advance 3: Yoshi's Island,Game Boy Advance,in_collection
131,Super Mario Advance 4: Super Mario Bros. 3,Game Boy Advance,in_collection
132,Metroid Zero Mission,Game Boy Advance,in_collection
133,Final Fantasy III,Nintendo DS,in_collection
134,Bubble Bobble Revolution,Nintendo DS,in_collection
135,Prince of Persia: The Forgotten Sands,Nintendo DS,in_collection
136,Super Mario 64 DS,Nintendo DS,in_collection
137,Star Wars: The Force Unleashed,Nintendo DS,in_collection
138,Castlevania: Portrait of Ruin,Nintendo DS,in_collection
139,New Super Mario Bros.,Nintendo DS,in_collection
140,Kirby Super Star Ultra,Nintendo DS,in_collection
141,Civilization: Revolution,Nintendo DS,in_collection
142,Mario Kart DS,Nintendo DS,in_collection
143,Meteos,Nintendo DS,in_collection
144,Cooking Mama,Nintendo DS,in_collection
145,Mega Man ZX Advent,Nintendo DS,in_collection
146,Mega Man ZX,Nintendo DS,in_collection
147,After Burner,Sega Master System,in_collection
148,Alex Kidd in Miracle World,Sega Master System,in_collection
149,Alien Syndrome,Sega Master System,in_collection
150,Altered Beast,Sega Master System,in_collection
151,Choplifter,Sega Master System,in_collection
152,Enduro Racer,Sega Master System,in_collection
153,Global Defense,Sega Master System,in_collection
154,Hang-On,Sega Master System,in_collection
155,Miracle Warriors,Sega Master System,in_collection
156,Space Harrier,Sega Master System,in_collection
157,Ecco: The Tides of Time,Sega Genesis,in_collection
158,Flashback,Sega Genesis,in_collection
159,Revenge of Shinobi,Sega Genesis,in_collection
160,Sonic Spinball,Sega Genesis,in_collection
161,Sonic the Hedgehog,Sega Genesis,in_collection
162,Spider-Man,Sega Genesis,in_collection
163,X-Men,Sega Genesis,in_collection
164,Sonic the Hedgehog 2,Sega Genesis,in_collection
165,Ecco The Dolphin,Sega Genesis,in_collection
166,Vectorman,Sega Genesis,in_collection
167,Shining Force,Sega Genesis,in_collection
168,Mortal Kombat,Sega Genesis,in_collection
169,Mortal Kombat 2,Sega Genesis,in_collection
170,Mortal Kombat 3,Sega Genesis,in_collection
171,Silpheed,Sega CD,in_collection
172,Star Wars: Rebel Assault,Sega CD,in_collection
173,Jurassic Park,Sega CD,in_collection
174,Bram Stoker's Dracula,Sega CD,in_collection
175,Tomcat Alley,Sega CD,in_collection
176,Sonic CD,Sega CD,in_collection
177,Castle of Illusion,Game Gear,in_collection
178,Columns,Game Gear,in_collection
179,Dragon Crystal,Game Gear,in_collection
180,Ecco the Dolphin,Game Gear,in_collection
181,G-Loc,Game Gear,in_collection
182,Mortal Kombat,Game Gear,in_collection
183,Psychic World,Game Gear,in_collection
184,Revenge of Drancon,Game Gear,in_collection
185,Sonic,Game Gear,in_collection
186,Sonic 2,Game Gear,in_collection
187,X-Men,Game Gear,in_collection
188,Streets of Rage,Game Gear,in_collection
189,Battle Arena Toshinden Remix,Sega Saturn,in_collection
190,Iron Man/X-O Manowar in Heavy Metal,Sega Saturn,in_collection
191,Myst,Sega Saturn,in_collection
192,Nights: Into Dreams,Sega Saturn,in_collection
193,Robotica,Sega Saturn,in_collection
194,Scud The Disposable Assassin,Sega Saturn,in_collection
195,Tomb Raider,Sega Saturn,in_collection
196,Virtua Fighter,Sega Saturn,in_collection
197,Virtual On,Sega Saturn,in_collection
198,Daytona USA,Sega Saturn,in_collection
199,Command and Conquer,Sega Saturn,in_collection
200,Virtua Fighter 2,Sega Saturn,in_collection
201,MechWarrior 2,Sega Saturn,in_collection
202,Fighting Vipers,Sega Saturn,in_collection
203,Hang-On GP,Sega Saturn,in_collection
204,Final Fantasy VII,PSX,in_collection
205,Final Fantasy VIII,PSX,in_collection
206,Final Fantasy IX,PSX,in_collection
207,N2O: Nitrous Oxide,PSX,in_collection
208,Jet Moto 2,PSX,in_collection
209,Metal Gear Solid,PSX,in_collection
210,CoolBoarders 2,PSX,in_collection
211,Wipeout 3,PSX,in_collection
212,Wipeout,PSX,in_collection
213,Spyro the Dragon,PSX,in_collection
214,Crash Bandicoot Warped,PSX,in_collection
215,Ballblazer Champions,PSX,in_collection
216,Mega Man 8,PSX,in_collection
217,Mega Man X4,PSX,in_collection
218,Mega Man X5,PSX,in_collection
219,Grand Theft Auto,PSX,in_collection
220,Grand Theft Auto 2,PSX,in_collection
221,Tekken 3,PSX,in_collection
222,Mega Man X6,PSX,in_collection
223,ATV Offroad Fury 4,PS2,in_collection
224,Baldur's Gate: Dark Alliance,PS2,in_collection
225,Bully,PS2,in_collection
226,Final Fantasy X,PS2,in_collection
227,God of War,PS2,in_collection
228,God of War II,PS2,in_collection
229,Grand Theft Auto III,PS2,in_collection
230,Grand Theft Auto: San Andreas,PS2,in_collection
231,Grand Theft Auto: Vice City,PS2,in_collection
232,Katamari Damacy,PS2,in_collection
233,Metal Gear Solid 2,PS2,in_collection
234,SoulCaliber 2,PS2,in_collection
235,Burnout 3: Takedown,PS2,in_collection
236,Beyond Good & Evil,PS2,in_collection
237,Shadow of the Colossus,PS2,in_collection
238,Giants: Citizen Kabuto,PS2,in_collection
239,Twisted Metal Black,PS2,in_collection
240,Mega Man X7,PS2,in_collection
241,Mega Man X8,PS2,in_collection
242,Alien Syndrome,PSP,in_collection
243,ATV Offroad Fury Pro,PSP,in_collection
244,Bomberman,PSP,in_collection
245,Bomberman Land,PSP,in_collection
246,Burnout Legends,PSP,in_collection
247,Every Extend Extra,PSP,in_collection
248,Final Fantasy II,PSP,in_collection
249,Ghostbusters: The Video Game,PSP,in_collection
250,Gran Turismo PSP,PSP,in_collection
251,Gunpey,PSP,in_collection
252,Half Minute Hero,PSP,in_collection
253,Justice League Heroes,PSP,in_collection
254,Killzone: Liberation,PSP,in_collection
255,Lumines,PSP,in_collection
256,Lumines II,PSP,in_collection
257,Secret Agent Clank,PSP,in_collection
258,SOCOM Fireteam Bravo 3,PSP,in_collection
259,Blood Omen 2,XBOX,in_collection
260,Halo,XBOX,in_collection
261,Halo 2,XBOX,in_collection
262,Ninja Gaiden,XBOX,in_collection
263,The Elder Scrolls V: Morrowind,XBOX,in_collection
264,Crimson Skies,XBOX,in_collection
265,Fable,XBOX,in_collection
266,Sega GT/Jet Set Radio Future,XBOX,in_collection
267,Pariah,XBOX,in_collection
268,SoulCaliber 2,XBOX,in_collection
269,Hydro Thunder,Sega Dreamcast,in_collection
270,Silent Scope,Sega Dreamcast,in_collection
271,Chu Chu Rocket,Sega Dreamcast,in_collection
272,Slave Zero,Sega Dreamcast,in_collection
273,Sonic Adventure,Sega Dreamcast,in_collection
274,Crazy Taxi,Sega Dreamcast,in_collection
275,Worms World Party,Sega Dreamcast,in_collection
276,Unreal Tournament,Sega Dreamcast,in_collection
277,Rippin' Riders,Sega Dreamcast,in_collection
278,SoulCaliber,Sega Dreamcast,in_collection
279,Super Magnetic Neo,Sega Dreamcast,in_collection
280,Tony Hawk Pro Skater 2,Sega Dreamcast,in_collection
281,Soul Reaver: Legacy of Kain,Sega Dreamcast,in_collection
282,Bonk's Adventure,TurboGrafx-16,in_collection
283,Klax,TurboGrafx-16,in_collection
284,Keith Courage,TurboGrafx-16,in_collection
285,Dragon Spirit,TurboGrafx-16,in_collection
286,Victory Run,TurboGrafx-16,in_collection
287,Legendary Axe,TurboGrafx-16,in_collection
288,Legendary Axe II,TurboGrafx-16,in_collection
289,Double Dungeons,TurboGrafx-16,in_collection
290,Blazing Lazers,TurboGrafx-16,in_collection
291,Ninja Spirit,TurboGrafx-16,in_collection
292,Galaga '90,TurboGrafx-16,in_collection
293,Military Madness,TurboGrafx-16,in_collection
294,Beamrider,Intellivision,in_collection
295,Burgertime,Intellivision,in_collection
296,Bomb Squad,Intellivision,in_collection
297,Tron Deadly Discs,Intellivision,in_collection
298,Sea Battle,Intellivision,in_collection
299,Las Vegas Poker & Blackjack,Intellivision,in_collection
300,Ladybug,Coleco Vision,in_collection
301,Donkey Kong,Coleco Vision,in_collection
302,Rocky,Coleco Vision,in_collection
303,Pepper II,Coleco Vision,in_collection
304,Venture,Coleco Vision,in_collection
305,Cosmic Avenger,Coleco Vision,in_collection
306,Q-Bert,Coleco Vision,in_collection
307,Adventures of Tron,Atari 2600,in_collection
308,Asteroids,Atari 2600,in_collection
309,Breakout,Atari 2600,in_collection
310,Centipede,Atari 2600,in_collection
311,RealSports Tennis,Atari 2600,in_collection
312,Defender,Atari 2600,in_collection
313,Donkey Kong,Atari 2600,in_collection
314,E.T.: The Extra-Terrestrial,Atari 2600,in_collection
315,Football,Atari 2600,in_collection
316,Home Run,Atari 2600,in_collection
317,Indy 500,Atari 2600,in_collection
318,Keystone Kapers,Atari 2600,in_collection
319,Missile Command,Atari 2600,in_collection
320,Galaxian,Atari 2600,in_collection
321,Outlaw,Atari 2600,in_collection
322,Pac-Man,Atari 2600,in_collection
323,Pitfall!,Atari 2600,in_collection
324,Seaquest,Atari 2600,in_collection
325,Space Invaders,Atari 2600,in_collection
326,Phoenix,Atari 2600,in_collection
327,Vanguard,Atari 2600,in_collection
328,Jungle Hunt,Atari 2600,in_collection
329,RealSports Soccer,Atari 2600,in_collection
330,Mario Bros.,Atari 2600,in_collection
331,Dig Dug,Atari 2600,in_collection
332,Pole Position,Atari 2600,in_collection
333,Snoopy vs. The Red Baron,Atari 2600,in_collection
334,Donkey Kong Junior,Atari 2600,in_collection
335,Desert Falcon,Atari 2600,in_collection
336,Ms. Pac-Man,Atari 2600,in_collection
337,Centipede,Atari 7800,in_collection
338,Robotron 2084,Atari 7800,in_collection
339,Pole Position II,Atari 7800,in_collection
340,Jinks,Atari 7800,in_collection
341,Dig Dug,Atari 7800,in_collection
342,Choplifter,Atari 7800,in_collection
343,Joust,Atari 7800,in_collection
344,Asteroids,Atari 7800,in_collection
